Russian Federation, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 22/10/2020
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1986     2.177     0.979     0.825     0.247     0.066     0.059     2.152     0.977     0.820     0.241     0.063     0.051
1987     2.229     1.003     0.843     0.257     0.068     0.058     2.202     1.000     0.837     0.250     0.065     0.050
1988     2.142     1.011     0.779     0.233     0.064     0.055     2.116     1.007     0.773     0.227     0.060     0.048
1989     2.018     1.007     0.703     0.202     0.056     0.050     1.995     1.003     0.697     0.197     0.054     0.044
1990     1.894     0.996     0.625     0.178     0.051     0.045     1.874     0.993     0.620     0.173     0.049     0.039
1991     1.733     0.953     0.540     0.154     0.046     0.040     1.715     0.950     0.536     0.150     0.044     0.035
1992     1.549     0.891     0.458     0.126     0.040     0.033     1.532     0.888     0.455     0.123     0.038     0.029
1993     1.370     0.820     0.395     0.101     0.030     0.024     1.358     0.818     0.393     0.098     0.029     0.021
1994     1.395     0.842     0.401     0.101     0.030     0.023     1.383     0.840     0.398     0.098     0.028     0.020
1995     1.338     0.803     0.387     0.098     0.029     0.021     1.327     0.801     0.385     0.095     0.027     0.019
1996     1.271     0.755     0.372     0.094     0.028     0.021     1.259     0.753     0.370     0.092     0.027     0.018
1997     1.219     0.710     0.366     0.094     0.028     0.021     1.208     0.708     0.364     0.092     0.027     0.018
1998     1.233     0.718     0.371     0.094     0.028     0.020     1.221     0.716     0.368     0.092     0.027     0.018
1999     1.158     0.678     0.345     0.089     0.027     0.019     1.146     0.676     0.342     0.087     0.025     0.017
2000     1.196     0.702     0.358     0.092     0.026     0.018     1.183     0.700     0.355     0.089     0.024     0.015
2001     1.224     0.721     0.369     0.090     0.027     0.018     1.211     0.718     0.366     0.087     0.025     0.015
2002     1.287     0.745     0.396     0.100     0.028     0.019     1.274     0.743     0.393     0.096     0.026     0.016
2003     1.334     0.767     0.415     0.105     0.029     0.019     1.319     0.765     0.411     0.101     0.026     0.016
2004     1.345     0.772     0.420     0.105     0.029     0.018     1.328     0.770     0.416     0.100     0.027     0.016
2005     1.294     0.743     0.406     0.100     0.028     0.017     1.278     0.741     0.401     0.096     0.026     0.014
2006     1.305     0.753     0.409     0.101     0.027     0.016     1.287     0.750     0.404     0.096     0.024     0.013
2007     1.416     0.761     0.475     0.125     0.034     0.020     1.394     0.759     0.469     0.119     0.031     0.017
2008     1.502     0.786     0.515     0.143     0.037     0.020     1.477     0.783     0.508     0.136     0.034     0.017
2009     1.541     0.801     0.535     0.147     0.038     0.021     1.513     0.797     0.526     0.139     0.034     0.018
2010     1.567     0.785     0.564     0.156     0.040     0.021     1.536     0.781     0.554     0.147     0.036     0.018
2011     1.583     0.781     0.574     0.165     0.041     0.022     1.551     0.777     0.563     0.155     0.037     0.019
2012     1.692     0.810     0.620     0.189     0.047     0.026     1.657     0.806     0.608     0.178     0.043     0.022
2013     1.709     0.812     0.625     0.198     0.049     0.025     1.671     0.807     0.612     0.187     0.044     0.021
2014     1.752     0.801     0.658     0.212     0.053     0.028     1.710     0.796     0.644     0.199     0.048     0.023
2015     1.776     0.786     0.688     0.219     0.055     0.028     1.733     0.780     0.674     0.205     0.050     0.024
2016     1.762     0.763     0.687     0.225     0.058     0.030     1.717     0.757     0.672     0.211     0.053     0.025
2017     1.621     0.704     0.605     0.223     0.059     0.030     1.576     0.698     0.590     0.209     0.054     0.026
2018     1.579     0.664     0.583     0.231     0.067     0.035     1.532     0.656     0.568     0.217     0.061     0.031
