Czechia, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 02/02/2023
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
2010     1.516     0.733     0.569     0.154     0.038     0.022     1.485     0.729     0.561     0.144     0.033     0.019
2011     1.427     0.700     0.536     0.137     0.035     0.020     1.396     0.695     0.526     0.126     0.031     0.018
2012     1.455     0.721     0.543     0.137     0.033     0.021     1.421     0.715     0.533     0.127     0.029     0.018
2013     1.461     0.730     0.533     0.142     0.035     0.021     1.426     0.724     0.523     0.131     0.030     0.018
2014     1.538     0.762     0.561     0.153     0.038     0.024     1.501     0.755     0.550     0.142     0.033     0.020
2015     1.585     0.795     0.576     0.153     0.037     0.024     1.543     0.786     0.563     0.141     0.032     0.020
2016     1.652     0.839     0.590     0.160     0.040     0.023     1.607     0.830     0.576     0.147     0.035     0.020
2017     1.714     0.870     0.611     0.167     0.041     0.025     1.667     0.860     0.595     0.154     0.036     0.022
2018     1.744     0.872     0.633     0.170     0.043     0.027     1.691     0.860     0.616     0.155     0.037     0.023
2019     1.754     0.872     0.642     0.173     0.041     0.025     1.699     0.859     0.624     0.158     0.036     0.022
2020     1.760     0.872     0.643     0.175     0.042     0.028     1.703     0.859     0.624     0.159     0.036     0.024
2021     1.819     0.880     0.691     0.180     0.042     0.026     1.758     0.865     0.669     0.165     0.036     0.023
