Hungary, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 08/03/2022
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1993     25.98     23.41     26.56     29.18     30.51     32.35     25.82     23.35     26.49     28.91     30.02     31.60
1994     26.18     23.56     26.65     29.27     30.72     32.26     26.01     23.50     26.56     28.99     30.31     31.62
1995     26.32     23.78     26.75     29.30     30.71     32.44     26.14     23.73     26.67     29.02     30.24     31.69
1996     26.46     24.04     26.92     29.43     30.73     32.52     26.28     23.98     26.84     29.13     30.25     31.84
1997     26.63     24.23     27.08     29.40     30.68     32.66     26.44     24.18     26.99     29.08     30.19     31.94
1998     26.81     24.53     27.34     29.42     30.82     32.60     26.62     24.46     27.23     29.15     30.29     31.87
1999     27.04     24.86     27.52     29.60     31.02     32.65     26.84     24.78     27.43     29.30     30.47     31.94
2000     27.28     25.10     27.80     29.87     31.16     32.67     27.07     25.04     27.68     29.53     30.55     31.95
2001     27.57     25.32     28.13     30.11     31.25     32.89     27.35     25.25     28.02     29.77     30.61     32.05
2002     27.77     25.60     28.41     30.31     31.39     32.96     27.53     25.52     28.28     29.92     30.73     32.09
2003     27.95     25.92     28.56     30.46     31.43     32.97     27.72     25.85     28.42     30.07     30.79     32.07
2004     28.21     26.28     28.93     30.63     31.66     33.15     27.96     26.20     28.77     30.20     30.94     32.25
2005     28.45     26.63     29.07     30.92     31.72     33.07     28.19     26.54     28.92     30.46     30.96     32.08
2006     28.65     26.90     29.29     30.94     31.73     33.12     28.40     26.81     29.14     30.51     30.98     32.12
2007     28.83     27.10     29.59     31.00     31.91     33.14     28.54     26.99     29.41     30.51     30.99     32.01
2008     28.91     27.20     29.72     31.05     31.86     33.10     28.62     27.08     29.52     30.53     30.96     32.05
2009     29.08     27.37     29.98     31.26     31.78     33.09     28.76     27.24     29.77     30.66     30.83     31.98
2010     29.31     27.67     30.26     31.39     31.88     33.27     28.97     27.52     30.01     30.79     30.86     31.97
2011     29.43     27.76     30.40     31.53     31.91     33.03     29.07     27.58     30.13     30.87     30.95     31.84
2012     29.41     27.71     30.40     31.60     31.88     32.90     29.04     27.53     30.12     30.99     30.85     31.77
2013     29.42     27.65     30.44     31.75     32.03     32.99     29.01     27.45     30.15     31.06     30.94     31.75
2014     29.47     27.68     30.50     31.91     32.03     32.76     29.06     27.47     30.19     31.24     30.89     31.66
2015     29.59     27.85     30.65     31.94     32.14     32.78     29.16     27.61     30.29     31.23     31.07     31.60
2016     29.54     27.83     30.57     31.91     32.11     32.87     29.10     27.59     30.19     31.22     31.05     31.61
2017     29.68     28.04     30.58     32.03     32.04     32.84     29.21     27.77     30.19     31.26     30.88     31.72
2018     29.74     28.18     30.67     31.81     31.88     32.84     29.25     27.86     30.23     31.06     30.86     31.70
2019     29.78     28.31     30.65     31.77     31.75     32.82     29.28     27.97     30.20     31.04     30.63     31.71
2020     29.83     28.36     30.63     31.74     32.11     32.86     29.33     28.01     30.20     31.04     31.09     31.75
