Hungary, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 08/03/2022
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1978     2.078     0.960     0.793     0.210     0.057     0.058     2.061     0.958     0.789     0.207     0.055     0.051
1979     2.018     0.952     0.757     0.198     0.054     0.055     2.001     0.950     0.755     0.195     0.052     0.049
1980     1.915     0.909     0.715     0.187     0.052     0.051     1.899     0.907     0.712     0.185     0.050     0.045
1981     1.882     0.888     0.695     0.199     0.053     0.047     1.867     0.887     0.692     0.196     0.051     0.042
1982     1.806     0.864     0.663     0.185     0.051     0.043     1.792     0.863     0.660     0.182     0.049     0.038
1983     1.761     0.848     0.645     0.178     0.050     0.041     1.748     0.846     0.642     0.175     0.048     0.037
1984     1.774     0.866     0.643     0.174     0.050     0.041     1.762     0.864     0.641     0.171     0.048     0.038
1985     1.874     0.883     0.689     0.200     0.057     0.045     1.861     0.881     0.686     0.197     0.055     0.042
1986     1.869     0.853     0.704     0.207     0.060     0.045     1.855     0.851     0.701     0.204     0.058     0.042
1987     1.854     0.840     0.694     0.211     0.062     0.046     1.839     0.837     0.692     0.207     0.060     0.042
1988     1.846     0.834     0.680     0.220     0.063     0.049     1.831     0.832     0.678     0.216     0.060     0.045
1989     1.838     0.808     0.684     0.233     0.066     0.047     1.823     0.806     0.681     0.229     0.063     0.043
1990     1.868     0.820     0.683     0.247     0.068     0.049     1.853     0.819     0.681     0.242     0.066     0.045
1991     1.875     0.825     0.682     0.243     0.072     0.054     1.859     0.823     0.679     0.239     0.069     0.050
1992     1.776     0.768     0.641     0.237     0.074     0.055     1.759     0.767     0.638     0.233     0.072     0.051
1993     1.687     0.711     0.602     0.241     0.076     0.057     1.669     0.709     0.599     0.236     0.073     0.053
1994     1.642     0.679     0.566     0.257     0.079     0.060     1.624     0.677     0.563     0.251     0.076     0.057
1995     1.571     0.649     0.551     0.238     0.074     0.060     1.554     0.647     0.548     0.233     0.071     0.055
1996     1.458     0.623     0.498     0.206     0.070     0.061     1.441     0.621     0.496     0.201     0.067     0.057
1997     1.377     0.589     0.456     0.199     0.071     0.062     1.360     0.587     0.453     0.194     0.068     0.058
1998     1.327     0.575     0.441     0.187     0.065     0.057     1.310     0.573     0.438     0.183     0.062     0.053
1999     1.284     0.565     0.418     0.183     0.063     0.056     1.267     0.563     0.415     0.178     0.060     0.052
2000     1.321     0.583     0.428     0.189     0.064     0.057     1.303     0.581     0.424     0.184     0.061     0.053
2001     1.310     0.573     0.417     0.196     0.066     0.058     1.290     0.570     0.414     0.190     0.062     0.054
2002     1.303     0.582     0.416     0.184     0.064     0.057     1.282     0.579     0.412     0.178     0.061     0.052
2003     1.272     0.575     0.407     0.178     0.061     0.052     1.251     0.572     0.402     0.172     0.058     0.048
2004     1.276     0.596     0.401     0.171     0.058     0.051     1.253     0.593     0.396     0.164     0.055     0.046
2005     1.307     0.610     0.415     0.172     0.059     0.050     1.282     0.607     0.410     0.165     0.055     0.045
2006     1.340     0.620     0.435     0.175     0.061     0.049     1.315     0.616     0.430     0.168     0.056     0.044
2007     1.316     0.619     0.425     0.168     0.056     0.049     1.288     0.614     0.419     0.160     0.051     0.043
2008     1.348     0.639     0.430     0.169     0.060     0.050     1.318     0.634     0.423     0.161     0.055     0.045
2009     1.322     0.632     0.428     0.160     0.056     0.047     1.290     0.626     0.420     0.151     0.051     0.041
2010     1.250     0.608     0.397     0.147     0.052     0.046     1.217     0.602     0.388     0.139     0.047     0.040
2011     1.258     0.603     0.401     0.156     0.053     0.046     1.221     0.596     0.391     0.146     0.048     0.040
2012     1.338     0.642     0.426     0.168     0.054     0.048     1.299     0.633     0.416     0.159     0.049     0.043
2013     1.341     0.647     0.421     0.168     0.056     0.048     1.299     0.638     0.410     0.158     0.050     0.043
2014     1.412     0.679     0.445     0.181     0.058     0.050     1.367     0.669     0.433     0.169     0.052     0.045
2015     1.441     0.696     0.458     0.183     0.056     0.049     1.392     0.684     0.443     0.171     0.050     0.043
2016     1.496     0.726     0.479     0.190     0.054     0.047     1.444     0.713     0.463     0.178     0.049     0.041
2017     1.496     0.717     0.480     0.198     0.055     0.045     1.441     0.703     0.464     0.184     0.049     0.041
2018     1.487     0.708     0.485     0.195     0.054     0.045     1.430     0.692     0.467     0.181     0.049     0.040
2019     1.492     0.714     0.488     0.191     0.056     0.043     1.433     0.697     0.470     0.178     0.051     0.038
2020     1.563     0.743     0.502     0.209     0.064     0.045     1.501     0.724     0.483     0.195     0.058     0.041
