Hungary, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 08/03/2022
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1975       5.20        4.11        4.34        4.83        5.27        5.35        4.97        4.01        4.25        4.59        4.80        4.57
1976       5.21        4.07        4.45        4.90        5.37        5.32        4.98        3.99        4.34        4.65        4.88        4.53
1977       5.23        4.12        4.47        4.97        5.44        5.50        4.97        4.03        4.36        4.68        4.87        4.59
1978       5.17        4.13        4.50        5.06        5.43        5.39        4.94        4.04        4.39        4.79        4.95        4.51
1979       5.12        4.13        4.45        5.17        5.40        5.43        4.89        4.04        4.34        4.86        4.88        4.55
1980       5.10        4.17        4.43        5.07        5.60        5.44        4.88        4.07        4.33        4.82        5.00        4.57
1981       5.05        4.14        4.38        5.03        5.48        5.60        4.83        4.06        4.28        4.77        4.96        4.65
1982       5.04        4.16        4.35        5.08        5.42        5.51        4.83        4.08        4.24        4.82        4.90        4.58
1983       5.00        4.15        4.31        5.04        5.39        5.54        4.79        4.07        4.20        4.74        4.88        4.73
1984       4.98        4.17        4.29        4.99        5.37        5.43        4.79        4.08        4.19        4.71        4.93        4.67
1985       4.99        4.18        4.28        4.97        5.25        5.28        4.80        4.08        4.18        4.69        4.80        4.59
1986       5.01        4.15        4.26        4.93        5.26        5.24        4.81        4.04        4.17        4.67        4.79        4.55
1987       5.03        4.14        4.26        4.97        5.22        5.28        4.83        4.04        4.16        4.68        4.81        4.62
1988       4.99        4.13        4.21        4.87        5.35        5.16        4.79        4.04        4.11        4.62        4.87        4.48
1989       4.99        4.12        4.18        4.86        5.21        5.09        4.78        4.02        4.08        4.60        4.73        4.44
1990       5.01        4.08        4.22        4.91        5.20        5.04        4.81        4.00        4.12        4.62        4.76        4.37
1991       5.04        4.10        4.25        4.88        5.12        5.01        4.83        4.01        4.14        4.59        4.70        4.36
1992       5.07        4.16        4.27        4.96        5.14        4.94        4.86        4.06        4.15        4.69        4.70        4.26
1993       5.12        4.23        4.29        4.91        5.19        4.97        4.89        4.12        4.17        4.60        4.71        4.33
1994       5.21        4.34        4.36        4.95        5.14        4.91        4.97        4.23        4.22        4.64        4.75        4.35
1995       5.20        4.43        4.35        4.94        5.21        4.97        4.96        4.33        4.22        4.63        4.77        4.34
1996       5.27        4.54        4.43        5.07        5.25        5.00        5.02        4.42        4.30        4.74        4.80        4.44
1997       5.32        4.58        4.52        5.14        5.31        5.00        5.07        4.48        4.39        4.79        4.87        4.43
1998       5.32        4.67        4.62        5.10        5.33        5.08        5.07        4.56        4.46        4.81        4.86        4.51
1999       5.34        4.74        4.63        5.25        5.33        5.00        5.10        4.62        4.50        4.94        4.86        4.46
2000       5.39        4.79        4.72        5.27        5.47        5.09        5.14        4.69        4.57        4.94        4.97        4.55
2001       5.46        4.90        4.76        5.28        5.54        5.11        5.20        4.79        4.62        4.95        5.02        4.48
2002       5.50        5.00        4.81        5.31        5.57        5.22        5.23        4.88        4.66        4.95        5.06        4.61
2003       5.53        5.09        4.94        5.36        5.59        5.19        5.27        4.99        4.77        5.02        5.10        4.53
2004       5.57        5.15        4.99        5.48        5.64        5.20        5.30        5.05        4.81        5.12        5.10        4.58
2005       5.59        5.24        5.03        5.51        5.72        5.29        5.32        5.13        4.86        5.14        5.16        4.60
2006       5.58        5.26        5.09        5.51        5.73        5.27        5.32        5.15        4.93        5.17        5.20        4.55
2007       5.64        5.36        5.13        5.63        5.87        5.40        5.36        5.22        4.95        5.26        5.24        4.63
2008       5.71        5.43        5.21        5.75        5.92        5.37        5.43        5.29        5.02        5.35        5.29        4.65
2009       5.76        5.50        5.24        5.82        6.08        5.50        5.46        5.35        5.03        5.37        5.43        4.74
2010       5.81        5.56        5.33        5.83        6.13        5.66        5.49        5.39        5.11        5.40        5.45        4.84
2011       5.83        5.64        5.32        5.81        6.03        5.47        5.50        5.45        5.08        5.35        5.40        4.66
2012       5.85        5.67        5.35        5.76        6.00        5.54        5.52        5.46        5.11        5.34        5.30        4.76
2013       5.98        5.81        5.48        5.78        6.03        5.62        5.64        5.59        5.23        5.30        5.31        4.76
2014       6.03        5.92        5.50        5.68        6.10        5.41        5.69        5.70        5.24        5.22        5.33        4.61
2015       6.06        5.96        5.55        5.83        6.02        5.46        5.70        5.72        5.25        5.36        5.33        4.59
2016       6.12        6.01        5.69        5.78        6.00        5.57        5.75        5.76        5.38        5.32        5.30        4.64
2017       6.12        6.00        5.72        5.88        6.20        5.38        5.74        5.73        5.42        5.37        5.44        4.53
2018       6.12        6.06        5.72        5.92        6.00        5.41        5.72        5.75        5.38        5.43        5.30        4.57
2019       6.11        6.05        5.73        5.95        6.23        5.47        5.70        5.72        5.38        5.47        5.48        4.65
2020       6.08        6.06        5.70        5.85        6.00        5.49        5.67        5.71        5.36        5.37        5.33        4.68
