Bulgaria, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 01/12/2022
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1990     1.787     0.882     0.671     0.150     0.045     0.038     1.778     0.880     0.669     0.149     0.044     0.036
1991     1.644     0.880     0.561     0.127     0.040     0.035     1.636     0.878     0.559     0.125     0.039     0.034
1992     1.544     0.853     0.504     0.112     0.039     0.035     1.534     0.851     0.502     0.110     0.038     0.032
1993     1.466     0.793     0.491     0.105     0.040     0.037     1.456     0.791     0.489     0.103     0.039     0.035
1994     1.378     0.733     0.470     0.099     0.038     0.038     1.370     0.732     0.468     0.098     0.037     0.036
1995     1.249     0.672     0.427     0.088     0.030     0.031     1.241     0.670     0.425     0.086     0.030     0.030
1996     1.257     0.675     0.431     0.088     0.031     0.032     1.248     0.673     0.430     0.086     0.030     0.030
1997     1.122     0.647     0.347     0.074     0.027     0.028     1.114     0.644     0.345     0.072     0.026     0.026
1998     1.152     0.671     0.362     0.069     0.025     0.026     1.144     0.668     0.360     0.068     0.024     0.024
1999     1.285     0.719     0.408     0.090     0.034     0.034     1.276     0.717     0.407     0.088     0.033     0.032
2000     1.322     0.768     0.400     0.085     0.034     0.034     1.312     0.765     0.398     0.084     0.033     0.032
2001     1.236     0.721     0.367     0.083     0.032     0.032     1.226     0.719     0.365     0.081     0.031     0.031
2002     1.217     0.694     0.376     0.085     0.031     0.031     1.208     0.692     0.374     0.083     0.030     0.029
2003     1.247     0.719     0.379     0.083     0.033     0.032     1.237     0.716     0.377     0.082     0.032     0.030
2004     1.309     0.761     0.392     0.091     0.034     0.033     1.298     0.757     0.389     0.088     0.033     0.030
2005     1.347     0.792     0.406     0.084     0.032     0.033     1.336     0.789     0.403     0.082     0.031     0.031
2006     1.422     0.841     0.428     0.087     0.032     0.034     1.409     0.837     0.424     0.085     0.031     0.033
2007     1.470     0.850     0.463     0.090     0.032     0.036     1.455     0.844     0.459     0.087     0.031     0.034
2008     1.544     0.893     0.493     0.093     0.031     0.034     1.527     0.887     0.488     0.090     0.030     0.032
2009     1.640     0.910     0.550     0.106     0.035     0.039     1.620     0.903     0.543     0.103     0.034     0.037
2010     1.558     0.846     0.533     0.107     0.035     0.037     1.536     0.838     0.526     0.103     0.034     0.035
2011     1.498     0.806     0.518     0.103     0.035     0.037     1.475     0.798     0.509     0.100     0.034     0.034
2012     1.498     0.800     0.516     0.108     0.036     0.038     1.475     0.792     0.508     0.104     0.035     0.036
2013     1.480     0.786     0.508     0.112     0.036     0.038     1.455     0.777     0.499     0.109     0.035     0.036
2014     1.534     0.815     0.533     0.114     0.036     0.036     1.505     0.805     0.522     0.110     0.035     0.034
2015     1.530     0.802     0.547     0.113     0.034     0.035     1.498     0.790     0.535     0.108     0.033     0.033
2016     1.543     0.811     0.546     0.118     0.034     0.035     1.507     0.797     0.532     0.113     0.033     0.032
2017     1.560     0.822     0.550     0.121     0.034     0.033     1.520     0.808     0.533     0.116     0.032     0.031
2018     1.558     0.813     0.555     0.122     0.035     0.032     1.517     0.798     0.539     0.116     0.033     0.030
2019     1.584     0.835     0.556     0.125     0.036     0.031     1.540     0.819     0.538     0.118     0.035     0.030
2020     1.558     0.821     0.548     0.123     0.035     0.032     1.512     0.804     0.530     0.116     0.033     0.029
2021     1.578     0.815     0.566     0.131     0.036     0.031     1.532     0.797     0.548     0.125     0.034     0.028
