United States, Standard deviation in cohort mean ages at birth by birth order and standard deviation in cohort mean ages at birth by birth order by age 40
Last modified: 24/03/2023
Cohort   sdCMAB     sdCMAB1     sdCMAB2     sdCMAB3     sdCMAB4    sdCMAB5p    sdCMAB40  sdCMAB40_1  sdCMAB40_2  sdCMAB40_3  sdCMAB40_4 sdCMAB40_5p
1957       6.09        5.79        5.51        5.34        5.30        5.30        5.74        5.53        5.21        4.98        4.81        4.53
1958       6.09        5.81        5.53        5.36        5.29        5.30        5.74        5.55        5.22        4.99        4.80        4.52
1959       6.11        5.83        5.55        5.37        5.32        5.32        5.74        5.56        5.24        5.00        4.81        4.52
1960       6.12        5.86        5.57        5.40        5.34        5.36        5.75        5.58        5.26        5.01        4.82        4.54
1961       6.13        5.89        5.60        5.42        5.37        5.38        5.75        5.60        5.27        5.02        4.84        4.56
1962       6.15        5.92        5.63        5.45        5.41        5.42        5.76        5.62        5.29        5.05        4.87        4.59
1963       6.16        5.94        5.65        5.48        5.45        5.47        5.77        5.64        5.31        5.07        4.91        4.64
1964       6.18        5.97        5.68        5.52        5.51        5.53        5.78        5.66        5.34        5.11        4.97        4.70
1965       6.21        6.01        5.72        5.58        5.57        5.61        5.81        5.70        5.38        5.17        5.03        4.78
1966       6.25        6.06        5.77        5.63        5.64        5.67        5.85        5.74        5.43        5.23        5.10        4.85
1967       6.29        6.10        5.81        5.68        5.70        5.73        5.88        5.78        5.47        5.28        5.16        4.91
1968       6.31        6.14        5.84        5.71        5.72        5.75        5.91        5.82        5.50        5.31        5.19        4.94
1969       6.32        6.16        5.86        5.73        5.73        5.75        5.93        5.84        5.52        5.33        5.21        4.95
1970       6.34        6.18        5.87        5.73        5.73        5.73        5.95        5.86        5.54        5.33        5.21        4.94
1971       6.36        6.19        5.89        5.72        5.71        5.68        5.96        5.88        5.55        5.33        5.18        4.90
1972          .           .           .           .           .           .        5.98        5.90        5.57        5.31        5.14        4.84
1973          .           .           .           .           .           .        5.99        5.92        5.57        5.27        5.09        4.79
1974          .           .           .           .           .           .        5.99        5.94        5.56        5.23        5.03        4.74
1975          .           .           .           .           .           .        5.99        5.96        5.55        5.20        4.99        4.69
1976          .           .           .           .           .           .        5.98        5.97        5.54        5.18        4.95        4.65
1977          .           .           .           .           .           .        5.99        5.99        5.54        5.17        4.93        4.64
1978          .           .           .           .           .           .        5.99        6.00        5.56        5.18        4.94        4.63
1979          .           .           .           .           .           .        6.00        6.01        5.56        5.19        4.93        4.61
1980          .           .           .           .           .           .        5.99        6.00        5.55        5.18        4.92        4.57
1981          .           .           .           .           .           .        5.96        5.98        5.54        5.17        4.90        4.54
