United States, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 24/03/2023
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1959       5.92        4.52        4.79        5.07        5.15        5.33        5.50        4.34        4.57        4.77        4.75        4.61
1960       5.90        4.47        4.74        5.03        5.13        5.31        5.47        4.30        4.53        4.72        4.72        4.59
1961       5.90        4.42        4.72        5.01        5.10        5.28        5.47        4.25        4.51        4.70        4.69        4.56
1962       5.89        4.37        4.68        4.97        5.07        5.25        5.45        4.20        4.46        4.66        4.65        4.54
1963       5.89        4.35        4.66        4.95        5.03        5.22        5.46        4.19        4.44        4.64        4.63        4.52
1964       5.91        4.46        4.63        4.94        5.03        5.19        5.48        4.28        4.43        4.64        4.63        4.49
1965       5.96        4.46        4.63        4.95        5.05        5.18        5.52        4.29        4.42        4.64        4.64        4.48
1966       5.96        4.38        4.57        4.94        5.07        5.18        5.52        4.22        4.38        4.63        4.64        4.45
1967       5.93        4.31        4.53        4.90        5.05        5.16        5.49        4.17        4.33        4.60        4.62        4.43
1968       5.87        4.41        4.48        4.81        4.99        5.14        5.45        4.27        4.30        4.53        4.57        4.40
1969       5.79        4.32        4.44        4.71        4.90        5.11        5.40        4.20        4.26        4.44        4.51        4.39
1970       5.74        4.33        4.40        4.64        4.84        5.06        5.37        4.22        4.25        4.40        4.46        4.35
1971       5.72        4.37        4.40        4.62        4.78        5.02        5.37        4.26        4.26        4.39        4.43        4.31
1972       5.77        4.48        4.45        4.69        4.84        5.04        5.43        4.38        4.31        4.46        4.48        4.31
1973       5.74        4.56        4.45        4.69        4.85        5.06        5.41        4.46        4.32        4.47        4.49        4.32
1974       5.66        4.60        4.44        4.66        4.87        5.08        5.35        4.51        4.33        4.46        4.51        4.33
1975       5.65        4.66        4.50        4.67        4.87        5.12        5.34        4.57        4.39        4.48        4.53        4.34
1976       5.60        4.71        4.53        4.67        4.87        5.14        5.32        4.63        4.43        4.49        4.55        4.37
1977       5.56        4.72        4.55        4.66        4.87        5.18        5.29        4.65        4.45        4.49        4.54        4.41
1978       5.54        4.79        4.61        4.70        4.91        5.23        5.29        4.71        4.52        4.54        4.59        4.45
1979       5.54        4.83        4.64        4.74        4.96        5.27        5.29        4.75        4.55        4.57        4.63        4.50
1980       5.54        4.86        4.70        4.77        5.00        5.31        5.30        4.79        4.61        4.61        4.66        4.53
1981       5.54        4.93        4.76        4.82        5.01        5.34        5.31        4.85        4.67        4.64        4.66        4.55
1982       5.58        5.03        4.82        4.88        5.07        5.37        5.35        4.95        4.72        4.70        4.71        4.57
1983       5.61        5.13        4.88        4.92        5.06        5.38        5.39        5.05        4.78        4.74        4.72        4.59
1984       5.64        5.21        4.96        4.97        5.11        5.39        5.42        5.12        4.85        4.77        4.76        4.60
1985       5.66        5.27        5.01        5.01        5.14        5.41        5.45        5.17        4.89        4.81        4.78        4.62
1986       5.70        5.35        5.08        5.06        5.16        5.41        5.49        5.24        4.96        4.85        4.80        4.64
1987       5.74        5.42        5.14        5.11        5.22        5.44        5.52        5.30        5.01        4.89        4.86        4.70
1988       5.78        5.48        5.21        5.17        5.25        5.47        5.55        5.35        5.06        4.94        4.90        4.75
1989       5.83        5.55        5.28        5.23        5.29        5.51        5.60        5.41        5.12        4.99        4.93        4.80
1990       5.86        5.58        5.35        5.27        5.33        5.52        5.63        5.43        5.18        5.02        4.97        4.83
1991       5.93        5.63        5.43        5.35        5.40        5.58        5.68        5.47        5.25        5.10        5.04        4.89
1992       5.96        5.68        5.47        5.40        5.43        5.59        5.71        5.52        5.28        5.14        5.05        4.91
1993       6.01        5.73        5.50        5.42        5.44        5.58        5.74        5.55        5.29        5.14        5.06        4.88
1994       6.05        5.78        5.52        5.41        5.43        5.56        5.78        5.59        5.30        5.12        5.04        4.86
1995       6.07        5.81        5.54        5.41        5.42        5.53        5.79        5.62        5.31        5.12        5.01        4.82
1996       6.07        5.84        5.57        5.43        5.43        5.52        5.78        5.64        5.33        5.12        5.01        4.80
1997       6.07        5.88        5.58        5.44        5.42        5.51        5.77        5.66        5.33        5.13        5.00        4.78
1998       6.06        5.90        5.57        5.44        5.41        5.50        5.76        5.68        5.32        5.12        4.98        4.76
1999       6.05        5.91        5.57        5.42        5.38        5.47        5.74        5.68        5.31        5.10        4.96        4.74
2000       6.04        5.93        5.58        5.41        5.39        5.45        5.73        5.70        5.31        5.08        4.94        4.71
2001       6.04        5.96        5.58        5.39        5.35        5.40        5.72        5.72        5.31        5.06        4.90        4.66
2002       6.03        5.97        5.59        5.38        5.32        5.39        5.71        5.73        5.31        5.03        4.87        4.64
2003       6.04        6.01        5.60        5.36        5.29        5.35        5.70        5.76        5.31        5.02        4.82        4.59
2004       6.05        6.04        5.61        5.36        5.26        5.30        5.71        5.78        5.32        5.01        4.79        4.55
2005       6.06        6.03        5.62        5.35        5.24        5.27        5.71        5.76        5.32        4.99        4.76        4.51
2006       6.07        6.01        5.64        5.35        5.21        5.23        5.72        5.74        5.33        4.98        4.74        4.48
2007       6.08        6.01        5.65        5.35        5.20        5.20        5.72        5.73        5.34        4.97        4.72        4.44
2008       6.10        6.04        5.67        5.37        5.21        5.17        5.73        5.74        5.34        4.98        4.71        4.41
2009       6.10        6.05        5.67        5.37        5.20        5.15        5.72        5.74        5.33        4.97        4.70        4.38
2010       6.08        6.06        5.64        5.35        5.17        5.13        5.70        5.74        5.30        4.95        4.68        4.36
2011       6.05        6.03        5.60        5.33        5.16        5.08        5.66        5.72        5.26        4.92        4.65        4.33
2012       6.03        6.04        5.59        5.30        5.16        5.06        5.64        5.72        5.23        4.89        4.64        4.32
2013       6.00        6.02        5.56        5.27        5.12        5.07        5.60        5.70        5.21        4.86        4.60        4.32
2014       5.96        6.00        5.54        5.25        5.11        5.04        5.56        5.67        5.19        4.83        4.58        4.29
2015       5.94        6.00        5.52        5.23        5.09        5.02        5.53        5.67        5.16        4.80        4.55        4.25
2016       5.92        5.99        5.49        5.21        5.05        5.00        5.50        5.65        5.13        4.77        4.51        4.22
2017       5.92        5.99        5.51        5.21        5.06        5.00        5.49        5.64        5.14        4.76        4.50        4.20
2018       5.92        5.99        5.50        5.20        5.05        4.99        5.48        5.64        5.12        4.74        4.46        4.17
2019       5.92        5.97        5.52        5.19        5.04        4.97        5.47        5.62        5.13        4.73        4.45        4.15
2020       5.90        5.95        5.49        5.18        5.01        4.95        5.45        5.60        5.10        4.70        4.42        4.11
2021       5.85        5.91        5.46        5.13        4.98        4.90        5.41        5.57        5.06        4.67        4.39        4.06
