United States, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 24/03/2023
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1953     26.42     23.97     26.96     28.98     30.44     32.75     26.14     23.82     26.75     28.68     29.98     31.80
1954     26.52     24.07     27.07     29.06     30.50     32.81     26.23     23.91     26.85     28.75     30.03     31.86
1955     26.60     24.16     27.17     29.13     30.56     32.86     26.31     23.99     26.94     28.81     30.09     31.89
1956     26.68     24.25     27.25     29.20     30.62     32.88     26.38     24.07     27.02     28.87     30.13     31.90
1957     26.78     24.35     27.35     29.27     30.68     32.91     26.47     24.17     27.10     28.93     30.18     31.92
1958     26.87     24.45     27.43     29.33     30.73     32.94     26.55     24.26     27.18     28.98     30.21     31.93
1959     26.93     24.52     27.50     29.36     30.76     32.91     26.61     24.33     27.23     29.00     30.22     31.88
1960     27.01     24.62     27.57     29.41     30.76     32.88     26.67     24.42     27.30     29.03     30.21     31.84
1961     27.10     24.73     27.66     29.47     30.78     32.88     26.75     24.52     27.38     29.08     30.21     31.82
1962     27.19     24.84     27.77     29.51     30.79     32.83     26.83     24.62     27.47     29.11     30.20     31.77
1963     27.27     24.95     27.86     29.54     30.78     32.75     26.91     24.72     27.56     29.13     30.19     31.68
1964     27.33     25.02     27.92     29.56     30.75     32.70     26.95     24.79     27.61     29.15     30.15     31.61
1965     27.37     25.07     27.96     29.56     30.70     32.65     26.99     24.83     27.65     29.14     30.10     31.54
1966     27.43     25.14     28.02     29.57     30.70     32.62     27.05     24.90     27.71     29.14     30.08     31.50
1967     27.49     25.20     28.08     29.58     30.70     32.63     27.10     24.96     27.75     29.16     30.08     31.50
1968     27.53     25.27     28.12     29.60     30.71     32.63     27.14     25.02     27.80     29.18     30.09     31.51
1969     27.56     25.31     28.16     29.63     30.73     32.64     27.17     25.06     27.84     29.20     30.12     31.54
1970     27.55     25.28     28.15     29.61     30.73     32.68     27.16     25.03     27.83     29.18     30.11     31.58
1971     27.51     25.21     28.10     29.58     30.73     32.71     27.12     24.96     27.78     29.15     30.11     31.62
1972         .         .         .         .         .         .     27.08     24.88     27.71     29.12     30.13     31.68
1973         .         .         .         .         .         .     27.07     24.85     27.70     29.12     30.16     31.75
1974         .         .         .         .         .         .     27.10     24.86     27.72     29.15     30.21     31.83
1975         .         .         .         .         .         .     27.13     24.87     27.74     29.15     30.26     31.91
1976         .         .         .         .         .         .     27.18     24.90     27.78     29.17     30.29     31.97
1977         .         .         .         .         .         .     27.24     24.96     27.84     29.21     30.33     32.02
1978         .         .         .         .         .         .     27.29     25.02     27.89     29.24     30.37     32.06
1979         .         .         .         .         .         .     27.34     25.08     27.94     29.28     30.42     32.10
1980         .         .         .         .         .         .     27.42     25.17     28.03     29.35     30.47     32.18
1981         .         .         .         .         .         .     27.51     25.28     28.13     29.42     30.53     32.23
