United States, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 24/03/2023
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1966     2.089     0.862     0.677     0.336     0.129     0.085     2.036     0.850     0.662     0.325     0.122     0.076
1967     2.109     0.868     0.683     0.340     0.131     0.087     2.054     0.856     0.668     0.329     0.125     0.078
1968     2.111     0.869     0.683     0.340     0.132     0.087     2.055     0.856     0.668     0.329     0.125     0.078
1969     2.114     0.872     0.684     0.340     0.132     0.086     2.059     0.859     0.668     0.329     0.125     0.077
1970     2.136     0.881     0.690     0.344     0.134     0.087     2.081     0.869     0.674     0.333     0.127     0.078
1971     2.160     0.888     0.696     0.349     0.137     0.090     2.103     0.875     0.680     0.337     0.130     0.081
1972         .         .         .         .         .         .     2.124     0.879     0.684     0.344     0.134     0.084
1973         .         .         .         .         .         .     2.144     0.884     0.688     0.348     0.137     0.086
1974         .         .         .         .         .         .     2.155     0.887     0.691     0.352     0.139     0.087
1975         .         .         .         .         .         .     2.160     0.884     0.691     0.354     0.142     0.089
1976         .         .         .         .         .         .     2.167     0.884     0.692     0.356     0.144     0.091
1977         .         .         .         .         .         .     2.171     0.884     0.692     0.358     0.145     0.092
1978         .         .         .         .         .         .     2.147     0.873     0.683     0.354     0.145     0.093
1979         .         .         .         .         .         .     2.120     0.864     0.673     0.348     0.143     0.092
1980         .         .         .         .         .         .     2.101     0.859     0.667     0.343     0.141     0.092
1981         .         .         .         .         .         .     2.091     0.856     0.664     0.340     0.140     0.092
